pair_id,smiles,formula,charge,n_atoms,id_a,id_b,energy_a_eV,energy_b_eV,deltaE_eV,rmsd_angstrom,xyz_file
pair_131,C[C@@H](O)CO,C3H8O2,0,13,1,4,-43.806046,-43.908195,-0.102149,0.4394,xyz/pair_131.xyz
pair_132,OCCCO,C3H8O2,0,13,2,6,-43.851608,-43.855392,-0.003784,0.3652,xyz/pair_132.xyz
pair_133,C=C1O[C@@H]1/C=C/O,C5H6O2,0,13,0,1,-48.455849,-48.429913,0.025936,0.4191,xyz/pair_133.xyz
pair_134,OC[C@H]1O[C@@]12CO2,C4H6O3,0,13,0,2,-46.714775,-46.761665,-0.046890,0.3391,xyz/pair_134.xyz
pair_135,O[C@@H]1CC[C@@H](O)O1,C4H8O3,0,15,0,1,-51.983078,-51.931328,0.051750,0.4108,xyz/pair_135.xyz
pair_136,O=CC1=C(O)[C@@H]2O[C@@H]2O1,C5H4O4,0,13,0,2,-51.429420,-51.405094,0.024326,0.4219,xyz/pair_136.xyz
pair_137,O=CC(=O)CCO,C4H6O3,0,13,4,0,-47.869240,-47.889603,-0.020363,0.3163,xyz/pair_137.xyz
pair_138,OC1=C[C@H](O)OC1,C4H6O3,0,13,0,1,-47.999046,-47.997482,0.001564,0.3970,xyz/pair_138.xyz
pair_139,CO[C@@H](C=O)CO,C4H8O3,0,15,1,4,-51.301754,-51.222328,0.079426,0.4177,xyz/pair_139.xyz
pair_140,O=C=CC(=O)[C@@H]1O[C@@H]1O,C5H4O4,0,13,2,0,-51.618267,-51.583450,0.034817,0.4210,xyz/pair_140.xyz
pair_141,O=C1C[C@H](O)C1=O,C4H4O3,0,11,0,1,-43.692043,-43.650711,0.041332,0.3187,xyz/pair_141.xyz
pair_142,O=C/C=C\[C@H]1O[C@H]1O,C5H6O3,0,14,2,1,-51.904484,-51.851334,0.053150,0.4116,xyz/pair_142.xyz
pair_143,OC1=CO[C@H](O)CO1,C4H6O4,0,14,3,2,-50.918076,-50.880463,0.037613,0.4023,xyz/pair_143.xyz
pair_144,O=CC1=C(O)[C@H](O)O1,C4H4O4,0,12,3,2,-46.552578,-46.580708,-0.028130,0.3917,xyz/pair_144.xyz
pair_145,CC(C)=O,C3H6O,0,10,0,1,-36.419247,-36.423237,-0.003990,0.3388,xyz/pair_145.xyz
pair_146,O=C(O)[C@]1(O)C[C@@H]1O,C4H6O4,0,14,0,1,-51.110264,-51.108559,0.001705,0.3779,xyz/pair_146.xyz
pair_147,O=C[C@@H]1C[C@H]1O,C4H6O2,0,12,1,2,-44.347218,-44.379131,-0.031913,0.3585,xyz/pair_147.xyz
pair_148,O=CC1=CO[C@H](O)C1=O,C5H4O4,0,13,0,2,-52.175278,-52.167786,0.007492,0.4500,xyz/pair_148.xyz
pair_149,C[C@@]1(O)OC[C@@H]1O,C4H8O3,0,15,0,1,-51.474693,-51.452286,0.022407,0.3273,xyz/pair_149.xyz
