formula,nC,nH,nO,maygen_total,maygen_canon,network_count,network_in_maygen,wikidata_count,wikidata_in_maygen,enwiki_count,enwiki_in_maygen,network_on_wikidata,network_on_enwiki
C3H7O4,3,7,4,0,0,2,0,0,0,0,0,0,0
C3H8O4,3,8,4,71,71,22,10,5,5,0,0,3,0
C3O5,3,0,5,68,68,0,0,0,0,0,0,0,0
C3HO5,3,1,5,0,0,0,0,0,0,0,0,0,0
C3H2O5,3,2,5,547,547,0,0,1,1,1,1,0,0
C3H3O5,3,3,5,0,0,0,0,0,0,0,0,0,0
C3H4O5,3,4,5,915,915,0,0,1,1,1,1,0,0
C3H5O5,3,5,5,0,0,0,0,0,0,0,0,0,0
C3H6O5,3,6,5,608,608,0,0,1,1,0,0,0,0
C3H7O5,3,7,5,0,0,0,0,0,0,0,0,0,0
C3H8O5,3,8,5,154,154,0,0,0,0,0,0,0,0
C3O6,3,0,6,130,130,0,0,1,1,1,1,0,0
C3HO6,3,1,6,0,0,0,0,0,0,0,0,0,0
C3H2O6,3,2,6,1115,1115,0,0,0,0,0,0,0,0
C3H3O6,3,3,6,0,0,0,0,0,0,0,0,0,0
C3H4O6,3,4,6,1945,1945,0,0,1,1,1,1,0,0
C3H5O6,3,5,6,0,0,0,0,0,0,0,0,0,0
C3H6O6,3,6,6,1294,1294,0,0,0,0,0,0,0,0
C3H7O6,3,7,6,0,0,0,0,0,0,0,0,0,0
C3H8O6,3,8,6,324,324,0,0,0,0,0,0,0,0
C4,4,0,0,3,3,0,0,1,1,0,0,0,0
C4H,4,1,0,0,0,0,0,0,0,0,0,0,0
C4H2,4,2,0,7,7,1,1,2,2,1,1,1,1
C4H3,4,3,0,0,0,0,0,0,0,0,0,0,0
C4H4,4,4,0,11,11,5,2,7,7,5,5,2,1
C4H5,4,5,0,0,0,0,0,0,0,0,0,0,0
C4H6,4,6,0,9,9,0,0,9,9,9,9,0,0
C4H7,4,7,0,0,0,0,0,1,0,0,0,0,0
C4H8,4,8,0,5,5,0,0,5,5,5,5,0,0
C4H9,4,9,0,0,0,0,0,0,0,0,0,0,0
C4H10,4,10,0,2,2,0,0,2,2,2,2,0,0
C4O,4,0,1,7,7,0,0,0,0,0,0,0,0
C4HO,4,1,1,0,0,0,0,0,0,0,0,0,0
C4H2O,4,2,1,36,35,3,2,1,1,0,0,1,0
C4H3O,4,3,1,0,0,4,0,1,0,0,0,0,0
C4H4O,4,4,1,62,62,37,17,15,15,4,4,10,4
C4H5O,4,5,1,0,0,0,0,0,0,0,0,0,0
C4H6O,4,6,1,55,55,86,27,27,27,7,7,15,5
C4H7O,4,7,1,0,0,1,0,0,0,0,0,0,0
C4H8O,4,8,1,26,26,0,0,26,25,10,9,0,0
C4H9O,4,9,1,0,0,0,0,0,0,0,0,0,0
C4H10O,4,10,1,7,7,0,0,7,7,6,6,0,0
C4O2,4,0,2,28,27,0,0,1,1,1,1,0,0
C4HO2,4,1,2,0,0,0,0,0,0,0,0,0,0
C4H2O2,4,2,2,163,161,7,4,4,4,0,0,0,0
C4H3O2,4,3,2,0,0,0,0,0,0,0,0,0,0
C4H4O2,4,4,2,301,300,109,41,25,24,9,9,15,5
C4H5O2,4,5,2,0,0,36,0,0,0,0,0,0,0
C4H6O2,4,6,2,263,263,297,60,46,46,13,13,27,9
C4H7O2,4,7,2,0,0,7,0,0,0,0,0,0,0
C4H8O2,4,8,2,122,122,197,32,51,51,13,13,23,7
C4H9O2,4,9,2,0,0,0,0,1,0,0,0,0,0
C4H10O2,4,10,2,28,28,0,0,24,24,8,8,0,0
C4O3,4,0,3,72,71,0,0,0,0,0,0,0,0
C4HO3,4,1,3,0,0,0,0,0,0,0,0,0,0
C4H2O3,4,2,3,551,547,21,11,5,5,2,2,3,0
C4H3O3,4,3,3,0,0,0,0,0,0,0,0,0,0
C4H4O3,4,4,3,1073,1072,176,45,19,19,3,3,8,1
C4H5O3,4,5,3,0,0,1,0,0,0,0,0,0,0
C4H6O3,4,6,3,949,949,372,58,51,48,10,10,19,4
C4H7O3,4,7,3,0,0,66,0,2,0,0,0,0,0
C4H8O3,4,8,3,425,425,339,45,54,54,6,6,20,2
C4H9O3,4,9,3,0,0,0,0,1,0,0,0,0,0
C4H10O3,4,10,3,88,88,0,0,20,20,4,4,0,0
C4O4,4,0,4,194,192,0,0,1,0,1,0,0,0
C4HO4,4,1,4,0,0,0,0,0,0,0,0,0,0
C4H2O4,4,2,4,1635,1629,1,0,7,6,2,2,0,0
C4H3O4,4,3,4,0,0,0,0,0,0,0,0,0,0
C4H4O4,4,4,4,3328,3325,1,1,15,15,4,4,1,0
C4H5O4,4,5,4,0,0,43,0,0,0,0,0,0,0
C4H6O4,4,6,4,2958,2958,9,3,20,20,5,5,0,0
C4H7O4,4,7,4,0,0,4,0,0,0,0,0,0,0
C4H8O4,4,8,4,1310,1310,32,6,26,26,2,2,1,0
C4H9O4,4,9,4,0,0,0,0,0,0,0,0,0,0
C4H10O4,4,10,4,255,255,0,0,10,10,1,1,0,0
C4O5,4,0,5,429,427,0,0,0,0,0,0,0,0
C4HO5,4,1,5,0,0,0,0,0,0,0,0,0,0
C4H2O5,4,2,5,4228,4219,0,0,0,0,0,0,0,0
C4H3O5,4,3,5,0,0,0,0,0,0,0,0,0,0
C4H4O5,4,4,5,8952,8948,0,0,4,4,1,1,0,0
C4H5O5,4,5,5,0,0,0,0,0,0,0,0,0,0
C4H6O5,4,6,5,8070,8070,0,0,13,13,3,3,0,0
C4H7O5,4,7,5,0,0,0,0,0,0,0,0,0,0
