formula,smiles,nC,nH,nO,on_wikidata,wikidata_name,wikidata_id
H2,[H][H],0,2,0,True,dihydrogen,Q3027893
H2,[HH],0,2,0,True,tritium hydride,Q27109978
H2,[HH],0,2,0,True,ditritium,Q54973755
H2,[HH],0,2,0,True,diprotium,Q121336432
H2,[HH],0,2,0,True,tritium deuteride,Q121336691
H2O,O,0,2,1,True,water O-15,Q27263630
H2O,(no SMILES),0,2,1,True,ice,Q23392
H2O,(no SMILES),0,2,1,True,ice,Q19614624
H2O,[1H]O[1H],0,2,1,True,diprotium oxide,Q106010185
H2O,[3H]O,0,2,1,True,hydrogen tritium oxide,Q106010186
O2,O=O,0,0,2,True,oxygen O-17,Q27261150
O2,[O+]#[O+],0,0,2,True,dioxygen(2+),Q27110032
O2,[18O]=[18O],0,0,2,True,Oxygen-18O2,Q82253542
H2O2,OO,0,2,2,True,hydrogen peroxide,Q171877
H2O2,(no SMILES),0,2,2,True,oxywater,Q110143786
H2O2,[2H]OO,0,2,2,True,monodeuterated hydrogen peroxide,Q136784537
O3,o1oo1,0,0,3,True,cyclic ozone,Q3359226
O3,O=[O+][O-],0,0,3,True,ozone,Q36933
H2O3,OOO,0,2,3,True,trioxidane,Q417642
H2O3,O.O=O,0,2,3,True,"Superoxide, hydrate",Q83077593
O4,O1OOO1,0,0,4,False,,
O4,(no SMILES),0,0,4,True,tetraoxygen,Q457709
O4,(no SMILES),0,0,4,True,tetroxygen,Q115943680
H2O4,OOOO,0,2,4,True,tetraoxidane,Q25535872
H2O4,O.O=[O+][O-],0,2,4,True,Trioxid-2-en-2-ium-1-ide--water (1/1),Q82821026
CH4,CC(C)(C)C,1,4,0,False,,
CH4,C,1,4,0,True,methane,Q37129
CH4,[2H]C([2H])([2H])[2H],1,4,0,True,(2H4)methane,Q1216189
CH4,[2H]C,1,4,0,True,METHANE-D1,Q82003872
CH4,[2H]C[2H],1,4,0,True,Methane-d2,Q82264899
CH4,[2H]C([2H])[2H],1,4,0,True,Methane-d3,Q82269049
CH4,[2H][13C]([2H])([2H])[2H],1,4,0,True,"Methane-13C,d4",Q82317947
CH4,[CH],1,4,0,True,hydridocarbon(3.),Q114819707
CO,C=O,1,0,1,True,formaldehyde,Q161210
CO,[C-]#[O+],1,0,1,True,carbon monoxide,Q2025
CO,[C-]#[O+],1,0,1,True,carbon monoxide c-11,Q27236288
CO,[C-]#[O+],1,0,1,True,O-15carbon monoxide,Q27265534
CO,[13C-]#[O+],1,0,1,True,Carbon-13C monoxide,Q82244372
CH2O,C=O,1,2,1,True,formaldehyde,Q161210
CH2O,[2H]C([2H])=O,1,2,1,True,(2H)Formaldehyde,Q83037604
CH2O,[2H]C=O,1,2,1,True,"Methyl-d1 radical, oxo-",Q83049538
CH2O,[14CH2]=O,1,2,1,True,Formaldehyde-(14)C,Q83055447
CH4O,CO,1,4,1,True,methanol,Q14982
CH4O,C[18OH],1,4,1,True,Methanol-18O,Q82314904
CH4O,[2H]OC,1,4,1,True,Methan(²H)ol,Q82908334
CH4O,[13CH3]O,1,4,1,True,(¹³C)Methanol,Q82908924
CH4O,[14CH3]O,1,4,1,True,(¹⁴C)Methanol,Q82931475
CH4O,[2H]O[CH2],1,4,1,True,(²H)Hydroxymethyl,Q82958130
CH4O,[2H]OC([2H])[2H],1,4,1,True,(²H₂)Methan(²H)ol,Q82976674
CH4O,[2H][C]([2H])O,1,4,1,True,Hydroxy(²H₂)methyl,Q82994523
CH4O,[2H]C([2H])([2H])O,1,4,1,True,(2H3)Methanol,Q83041789
CH4O,[CH2]O,1,4,1,True,Hydroxymethyl radical,Q83051206
CH4O,[2H]C([2H])([2H])[O],1,4,1,True,Methoxy-d3 radical,Q83101314
CO2,O=C=O,1,0,2,True,carbon dioxide,Q1997
CO2,(no SMILES),1,0,2,True,Amorphous carbonia,Q3658298
CO2,O=[13C]=O,1,0,2,True,Carbon-13C dioxide,Q82251045
CO2,[17O]=C=[17O],1,0,2,True,Methane(¹⁷O₂)dione,Q82346669
CO2,O=[14C]=O,1,0,2,True,(¹⁴C)Methanedione,Q82947469
CH2O2,C1OO1,1,2,2,True,dioxirane,Q905942
CH2O2,O=CO,1,2,2,True,formic acid,Q161233
CH2O2,O[C]O,1,2,2,True,dihydroxymethylidene,Q332879
CH2O2,O=[13CH]O,1,2,2,True,Formic acid-13C,Q82277731
CH2O2,O.[C-]#[O+],1,2,2,True,PUBCHEM_71441937,Q82844214
CH2O2,[2H]OC([2H])=O,1,2,2,True,(2H)Formic (2)acid,Q83121160
CH2O2,[2H]OC=O,1,2,2,True,Formic (2H)acid,Q83121361
CH4O2,COO,1,4,2,True,methyl hydroperoxide,Q83055323
CH4O2,OCO,1,4,2,True,methanediol,Q2365760
CH4O2,C=O.O,1,4,2,True,Formaldehyde--water (1/1),Q82526794
CO3,O=C1OO1,1,0,3,True,Dioxiran-3-one,Q82496260
CO3,(no SMILES),1,0,3,True,carbon trioxide,Q423705
CH2O3,C1OOO1,1,2,3,False,,
CH2O3,O=C(O)O,1,2,3,True,carbonic acid,Q104334
CH2O3,O=COO,1,2,3,True,Performic acid,Q3269240
CH2O3,OC1OO1,1,2,3,False,,
CH2O3,O.O=C=O,1,2,3,True,Methanedione--water (1/1),Q82525355
CH4O3,COOO,1,4,3,False,,
CH4O3,OC(O)O,1,4,3,True,orthoformic acid,Q2823293
CH4O3,OCOO,1,4,3,True,"Methanol, hydroperoxy-",Q83035822
CH4O3,O.O=CO,1,4,3,True,Formic acid--water (1/1),Q82490490
CH4O3,C=O.OO,1,4,3,True,"Formaldehyde, mixt. with hydrogen peroxide",Q83111227
CO4,O1OC12OO2,1,0,4,False,,
CO4,O=c1ooo1,1,0,4,True,carbon tetroxide,Q1086826
CH2O4,C1OOOO1,1,2,4,True,Tetroxolane,Q82774742
CH2O4,O=C(O)OO,1,2,4,True,carbonoperoxoic acid,Q126600973
CH2O4,O=COOO,1,2,4,False,,
CH2O4,OC1(O)OO1,1,2,4,False,,
CH2O4,OC1OOO1,1,2,4,False,,
CH2O4,OOC1OO1,1,2,4,False,,
CH4O4,COOOO,1,4,4,False,,
CH4O4,OC(O)(O)O,1,4,4,True,orthocarbonic acid,Q2491625
CH4O4,OCOOO,1,4,4,False,,
CH4O4,OOC(O)O,1,4,4,False,,
CH4O4,OOCOO,1,4,4,False,,
CH4O4,O.O=C(O)O,1,4,4,True,Carbonic acid--water (1/1),Q82524802
C2,CC,2,0,0,True,ethane,Q52858
C2,[C+]#[C-],2,0,0,True,dicarbon,Q866218
C2H2,C#C,2,2,0,True,acetylene,Q133145
C2H2,C=C,2,2,0,True,ethylene,Q151313
C2H2,[C]=C,2,2,0,True,methylidenecarbene,Q17146049
C2H2,[13CH]#[13CH],2,2,0,True,Acetylene-13C2,Q82265390
C2H2,[2H]C#C,2,2,0,True,Acetylene-d1,Q83046917
C2H4,C=C,2,4,0,True,ethylene,Q151313
C2H4,[13CH2]=[13CH2],2,4,0,True,Ethylene-13C2,Q82317948
C2H4,C=[13CH2],2,4,0,True,Ethylene-13C1,Q82317949
C2H4,[2H]C=C,2,4,0,True,Ethylene-d1,Q83051914
C2H4,[2H]C=C([2H])[2H],2,4,0,True,Ethylene-d3,Q83051916
C2H4,[2H]C([2H])=C,2,4,0,True,"Ethylene-1,1-d2",Q83094583
C2H4,[2H]C([2H])=C([2H])[2H],2,4,0,True,(2H4)Ethylene,Q83095335
C2H4,[CH]C,2,4,0,True,Ethylidene,Q133523535
C2H6,CC(C)(C)C(C)(C)C,2,6,0,False,,
C2H6,CC,2,6,0,True,ethane,Q52858
C2H6,[2H]C([2H])C([2H])([2H])[2H],2,6,0,True,Ethane-d5,Q82308036
C2H6,C[13CH3],2,6,0,True,Ethane-13C1,Q82308050
C2H6,[13CH3][13CH3],2,6,0,True,Ethane-13C2,Q82318145
C2H6,[2H]C([2H])C([2H])[2H],2,6,0,True,(²H₄)Ethane,Q82457847
C2H6,[2H]C([2H])C,2,6,0,True,(²H₂)Ethane,Q82929850
C2H6,[2H]CC,2,6,0,True,(²H₁)Ethane,Q82953585
C2H6,[2H]C([2H])([2H])C([2H])([2H])[2H],2,6,0,True,Ethane-d6,Q83036925
C2H6,[2H]C([2H])([2H])C,2,6,0,True,"Ethane-1,1,1-d3",Q83044264
C2O,C1#CO1,2,0,1,False,,
C2O,[C+]#C[O-],2,0,1,True,Dicarbon monoxide,Q2741198
C2H2O,C#CO,2,2,1,True,ethynol,Q1876754
C2H2O,C1=CO1,2,2,1,True,oxirene,Q964273
C2H2O,C=C=O,2,2,1,True,ketene,Q421032
C2H2O,[2H]C([2H])=C=O,2,2,1,True,Ketene-d2,Q83070210
C2H2O,C#C[O],2,2,1,True,Ethynyloxy radical,Q83071992
C2H4O,C1CO1,2,4,1,True,ethylene oxide,Q407473
C2H4O,C=CO,2,4,1,True,vinyl alcohol,Q409591
C2H4O,CC=O,2,4,1,True,acetaldehyde,Q61457
C2H4O,C[11CH]=O,2,4,1,True,Acetaldehyde-1-11C,Q81977366
C2H4O,[2H]C1CO1,2,4,1,True,"Oxirane, labeled with deuterium",Q81977406
C2H4O,[13CH3][13CH]=O,2,4,1,True,Acetaldehyde-13C2,Q82268378
C2H4O,[13CH2]1[13CH2]O1,2,4,1,True,(¹³C₂)Oxirane,Q82375220
C2H4O,C#C.O,2,4,1,True,Acetylene--water (1/1),Q82738006
C2H4O,[2H]C1([2H])OC1([2H])[2H],2,4,1,True,(²H₄)Oxirane,Q82971210
C2H4O,[2H]C(=O)C([2H])([2H])[2H],2,4,1,True,(2H4)Acetaldehyde,Q83036924
C2H4O,[2H]C([2H])([2H])C=O,2,4,1,True,"Acetaldehyde-2,2,2-d3",Q83043722
C2H4O,[CH]1CO1,2,4,1,True,Oxiranyl radical,Q83056503
C2H4O,[2H]C(C)=O,2,4,1,True,(1-2H1)Acetaldehyde,Q83066903
C2H6O,CCO,2,6,1,True,ethanol,Q153
C2H6O,COC,2,6,1,True,dimethyl ether,Q408050
C2H6O,[2H]C([2H])([2H])CO,2,6,1,True,"Ethanol-2,2,2-d3",Q82099653
C2H6O,[2H]C([2H])([2H])OC([2H])([2H])[2H],2,6,1,True,Dimethyl ether-d6,Q82238961
C2H6O,C[13CH2]O,2,6,1,True,Ethanol-1-13C,Q82314905
C2H6O,[2H]C([2H])([2H])C([2H])([2H])O,2,6,1,True,Ethanol-d5,Q82314907
C2H6O,[13CH3]CO,2,6,1,True,Ethanol-2-13C,Q82314909
C2H6O,[13CH3]O[13CH3],2,6,1,True,Methyl ether-13C2,Q82319507
C2H6O,C=C.O,2,6,1,True,Ethene--water (1/1),Q82526103
C2H6O,CC[17OH],2,6,1,True,Ethan(¹⁷O)ol,Q82670837
C2H6O,[2H]OCC,2,6,1,True,Ethan(²H)ol,Q82891588
C2H6O,C[CH]O,2,6,1,True,1-Hydroxyethyl,Q82923683
C2H6O,[2H]C([2H])([2H])OC,2,6,1,True,"1,1,1-d3-Dimethyl ether",Q83028499
C2H6O,[CH2]OC,2,6,1,True,"Methyl radical, methoxy-",Q83037353
C2H6O,[2H]C([2H])(C)O,2,6,1,True,"Ethanol-1,1-d2",Q83041957
C2H6O,C[14CH2]O,2,6,1,True,Ethanol-14C,Q83094739
C2O2,O=C=C=O,2,0,2,True,ethylene dione,Q3120751
C2O2,c1ooc#1,2,0,2,False,,
C2O2,o1c2oc1=2,2,0,2,True,"2,4-Dioxabicyclo[1.1.0]but-1(3)-ene",Q82642538
C2H2O2,C#COO,2,2,2,False,,
C2H2O2,C=C1OO1,2,2,2,False,,
C2H2O2,O1C2OC12,2,2,2,True,"2,4-Dioxabicyclo[1.1.0]butane",Q82491425
C2H2O2,O=C1CO1,2,2,2,True,acetolactone,Q416613
C2H2O2,O=C=CO,2,2,2,False,,
C2H2O2,O=CC=O,2,2,2,True,glyoxal,Q413465
C2H2O2,OC#CO,2,2,2,True,acetylenediol,Q2758601
C2H2O2,OC1=CO1,2,2,2,False,,
C2H2O2,c1coo1,2,2,2,True,dioxetene,Q9207633
C2H4O2,C1COO1,2,4,2,True,"1,2-dioxetane",Q2279782
C2H4O2,C1OCO1,2,4,2,True,"1,3-dioxetane",Q639718
C2H4O2,C=C(O)O,2,4,2,True,"1,1-dihydroxyethene",Q55600327
C2H4O2,C=COO,2,4,2,True,Etheneperoxol,Q82496075
C2H4O2,CC(=O)O,2,4,2,True,acetic acid c-14,Q27271920
C2H4O2,CC1OO1,2,4,2,True,methyldioxirane,Q55622903
C2H4O2,COC=O,2,4,2,True,methyl formate,Q422779
C2H4O2,O=CCO,2,4,2,True,glycolaldehyde,Q899877
C2H4O2,OC1CO1,2,4,2,True,(2R)-oxiran-2-ol,Q76801960
C2H4O2,OC=CO,2,4,2,True,"1,2-ethenediol",Q21099157
C2H4O2,O/C=C\O,2,4,2,True,"(Z)-1,2-Dihydroxyethene",Q72466650
C2H4O2,O/C=C/O,2,4,2,True,"(E)-ethene-1,2-diol",Q76149899
C2H4O2,CO[13CH]=O,2,4,2,True,Methyl formate-13C,Q82315809
C2H4O2,[2H][13C]([2H])([2H])C(=O)O,2,4,2,True,"Acetic acid-2-13C,2,2,2-d3",Q82316295
C2H4O2,[2H]O[13C](=O)C([2H])([2H])[2H],2,4,2,True,"(1-¹³C,²H₄)Acetic acid",Q82475080
C2H4O2,CC(=[18O])[18OH],2,4,2,True,(¹⁸O₂)Acetic acid,Q82475511
C2H4O2,CO[12CH]=O,2,4,2,True,Methyl (¹²C)formate,Q82476033
C2H4O2,O=[13CH]CO,2,4,2,True,Hydroxy(1-¹³C)acetaldehyde,Q82664800
C2H4O2,[12CH3][12C](=O)O,2,4,2,True,(¹²C₂)Acetic acid,Q82693955
C2H4O2,[2H]OC(C)=O,2,4,2,True,(O-²H)Acetic acid,Q82989213
C2H4O2,[2H]C([2H])([2H])C(=O)O,2,4,2,True,"Acetic acid-C,C,C-d3",Q83015340
C2H4O2,[2H]C(=O)OC,2,4,2,True,Methyl (2H)formate,Q83048796
C2H6O2,CC(O)O,2,6,2,True,"1,1-Ethanediol",Q72471148
C2H6O2,CCOO,2,6,2,True,ethyl hydroperoxide,Q27236368
C2H6O2,COCO,2,6,2,True,methoxymethanol,Q27120701
C2H6O2,COOC,2,6,2,True,dimethyl peroxide,Q27116633
C2H6O2,OCCO,2,6,2,True,ethylene glycol,Q194207
C2H6O2,[2H]OCCO[2H],2,6,2,True,Ethylene glycol-(OD)2,Q82270502
C2H6O2,O[13CH2][13CH2]O,2,6,2,True,"(¹³C₂)Ethane-1,2-diol",Q82475563
C2H6O2,C1CO1.O,2,6,2,True,Oxirane--water (1/1),Q82485904
C2H6O2,CCO[O],2,6,2,True,Ethyldioxidanyl,Q82932544
C2H6O2,[2H]OC([2H])([2H])C([2H])([2H])O[2H],2,6,2,True,"(1,1,2,2-2H4)Ethane-1,2-(2H2)diol",Q83033633
C2H6O2,O[14CH2][14CH2]O,2,6,2,True,"1,2-Ethanediol-1,2-14C2",Q83082386
C2O3,C1#COOO1,2,0,3,False,,
C2O3,O1C23OC12O3,2,0,3,False,,
C2O3,O1c2ooc21,2,0,3,False,,
C2O3,O=C=C1OO1,2,0,3,False,,
C2O3,O=c1oc1=O,2,0,3,True,oxalic anhydride,Q912268
C2H2O3,C#COOO,2,2,3,False,,
C2H2O3,C1=COOO1,2,2,3,False,,
C2H2O3,C1OC12OO2,2,2,3,False,,
C2H2O3,C=C1OOO1,2,2,3,False,,
C2H2O3,O1C2OC1O2,2,2,3,False,,
C2H2O3,O1OC2OC12,2,2,3,False,,
C2H2O3,O=C1COO1,2,2,3,True,"1,2-Dioxetan-3-one",Q82523420
C2H2O3,O=C1OC1O,2,2,3,False,,
C2H2O3,O=C1OCO1,2,2,3,False,,
C2H2O3,O=C=C(O)O,2,2,3,False,,
C2H2O3,O=C=COO,2,2,3,False,,
C2H2O3,O=CC(=O)O,2,2,3,True,oxoacetic acid,Q413552
C2H2O3,O=CC1OO1,2,2,3,False,,
C2H2O3,O=COC=O,2,2,3,True,formic anhydride,Q5470178
C2H2O3,OC#COO,2,2,3,False,,
C2H2O3,OC12OC1O2,2,2,3,False,,
C2H2O3,OC1=C(O)O1,2,2,3,False,,
C2H2O3,OC=C1OO1,2,2,3,False,,
C2H2O3,OOC1=CO1,2,2,3,False,,
C2H2O3,Oc1coo1,2,2,3,False,,
C2H4O3,C1COOO1,2,4,3,True,"1,2,3-trioxolane",Q82523122
C2H4O3,C1OCOO1,2,4,3,True,"1,2,4-trioxolane",Q83053818
C2H4O3,C=C(O)OO,2,4,3,False,,
C2H4O3,C=COOO,2,4,3,False,,
C2H4O3,CC(=O)OO,2,4,3,True,peracetic acid,Q375140
C2H4O3,CC1(O)OO1,2,4,3,False,,
C2H4O3,CC1OOO1,2,4,3,False,,
C2H4O3,COC(=O)O,2,4,3,True,methyl hydrogen carbonate,Q15726024
C2H4O3,COC1OO1,2,4,3,False,,
C2H4O3,COOC=O,2,4,3,False,,
C2H4O3,O=C(O)CO,2,4,3,True,hydroxyacetic acid,Q409373
C2H4O3,O=CC(O)O,2,4,3,True,Dihydroxyacetaldehyde,Q83087564
C2H4O3,O=CCOO,2,4,3,True,Hydroperoxyacetaldehyde,Q82647458
C2H4O3,O=COCO,2,4,3,False,,
C2H4O3,OC1(O)CO1,2,4,3,False,,
C2H4O3,OC1COO1,2,4,3,False,,
C2H4O3,OC1OC1O,2,4,3,True,"Oxirane-2,3-diol",Q82453393
C2H4O3,OC1OCO1,2,4,3,False,,
C2H4O3,OC=C(O)O,2,4,3,False,,
C2H4O3,OC=COO,2,4,3,False,,
C2H4O3,OCC1OO1,2,4,3,False,,
C2H4O3,OOC1CO1,2,4,3,False,,
C2H4O3,O=[13C](O)[13CH2]O,2,4,3,True,Glycocide-13C2,Q82256499
C2H6O3,CC(O)(O)O,2,6,3,True,orthoacetic acid,Q7104402
C2H6O3,CC(O)OO,2,6,3,True,1-hydroperoxyethanol,Q27260412
C2H6O3,CCOOO,2,6,3,False,,
C2H6O3,COC(O)O,2,6,3,True,"Methanediol, methoxy-",Q82218843
C2H6O3,COCOO,2,6,3,True,Methoxymethaneperoxol,Q82417782
C2H6O3,COOCO,2,6,3,False,,
C2H6O3,COOOC,2,6,3,True,Dimethyltrioxidane,Q29113761
C2H6O3,OCC(O)O,2,6,3,False,,
C2H6O3,OCCOO,2,6,3,False,,
C2H6O3,OCOCO,2,6,3,True,oxydimethanol,Q27452634
C2H6O3,CC(=O)O.O,2,6,3,True,Acetic acid--water (1/1),Q82522709
C2H6O3,COCO[O],2,6,3,True,"Methyldioxy, methoxy-",Q83102225
C2O4,O1C23OC1(O2)O3,2,0,4,False,,
C2O4,O1OC1=C1OO1,2,0,4,False,,
C2O4,O1OC23OC12O3,2,0,4,False,,
C2O4,O=C1OC(=O)O1,2,0,4,True,"1,3-dioxetanedione",Q1093255
C2O4,O=C1OC12OO2,2,0,4,False,,
C2O4,O=C1OOC1=O,2,0,4,True,"1,2-dioxetanedione",Q161485
C2O4,O=C=C1OOO1,2,0,4,False,,
C2O4,c1ooooc#1,2,0,4,False,,
C2O4,o1oc2oc=2o1,2,0,4,False,,
C2H2O4,C#COOOO,2,2,4,False,,
C2H2O4,C1OC12OOO2,2,2,4,False,,
C2H2O4,C1OC2(O1)OO2,2,2,4,False,,
C2H2O4,C1OOC12OO2,2,2,4,False,,
C2H2O4,C=C1OOOO1,2,2,4,False,,
C2H2O4,O1OC1C1OO1,2,2,4,False,,
C2H2O4,O1OC2OC1O2,2,2,4,False,,
C2H2O4,O1OC2OC2O1,2,2,4,False,,
C2H2O4,O=C(O)C(=O)O,2,2,4,True,oxalic acid,Q184832
C2H2O4,O=C(O)C1OO1,2,2,4,False,,
C2H2O4,O=C1COOO1,2,2,4,False,,
C2H2O4,O=C1OC(O)O1,2,2,4,False,,
C2H2O4,O=C1OC1(O)O,2,2,4,False,,
C2H2O4,O=C1OC1OO,2,2,4,False,,
C2H2O4,O=C1OCOO1,2,2,4,False,,
C2H2O4,O=C1OOC1O,2,2,4,False,,
C2H2O4,O=C=C(O)OO,2,2,4,False,,
C2H2O4,O=C=COOO,2,2,4,False,,
C2H2O4,O=CC(=O)OO,2,2,4,False,,
C2H2O4,O=CC1(O)OO1,2,2,4,False,,
C2H2O4,O=CC1OOO1,2,2,4,False,,
C2H2O4,O=COC(=O)O,2,2,4,False,,
C2H2O4,O=COC1OO1,2,2,4,False,,
C2H2O4,O=COOC=O,2,2,4,True,PUBCHEM_21525883,Q82517240
C2H2O4,OC#COOO,2,2,4,False,,
C2H2O4,OC(O)=C1OO1,2,2,4,False,,
C2H2O4,OC12OC(O1)O2,2,2,4,False,,
C2H2O4,OC12OC1(O)O2,2,2,4,False,,
C2H2O4,OC12OOC1O2,2,2,4,False,,
C2H2O4,OC1=COOO1,2,2,4,False,,
C2H2O4,OC1OC12OO2,2,2,4,False,,
C2H2O4,OC=C1OOO1,2,2,4,False,,
C2H2O4,OOC#COO,2,2,4,False,,
C2H2O4,OOC12OC1O2,2,2,4,False,,
C2H2O4,OOC1=C(O)O1,2,2,4,False,,
C2H2O4,OOC=C1OO1,2,2,4,False,,
C2H2O4,OOOC1=CO1,2,2,4,False,,
C2H2O4,OOc1coo1,2,2,4,False,,
C2H2O4,Oc1ooc1O,2,2,4,False,,
C2H2O4,c1coooo1,2,2,4,False,,
C2H2O4,O=[14C](O)[14C](=O)O,2,2,4,True,Oxalic acid-14C,Q82318969
C2H2O4,[2H]OC(=O)C(=O)O[2H],2,2,4,True,Oxalic acid-d2,Q83044796
C2H4O4,C1COOOO1,2,4,4,False,,
C2H4O4,C1OCOOO1,2,4,4,False,,
C2H4O4,C1OOCOO1,2,4,4,True,"1,2,4,5-Tetroxane",Q82294882
C2H4O4,C=C(O)OOO,2,4,4,False,,
C2H4O4,C=C(OO)OO,2,4,4,False,,
C2H4O4,C=COOOO,2,4,4,False,,
C2H4O4,CC(=O)OOO,2,4,4,False,,
C2H4O4,CC1(O)OOO1,2,4,4,False,,
C2H4O4,CC1(OO)OO1,2,4,4,False,,
C2H4O4,CC1OOOO1,2,4,4,False,,
C2H4O4,COC(=O)OO,2,4,4,False,,
C2H4O4,COC1(O)OO1,2,4,4,False,,
C2H4O4,COC1OOO1,2,4,4,False,,
C2H4O4,COOC(=O)O,2,4,4,False,,
C2H4O4,COOC1OO1,2,4,4,False,,
C2H4O4,COOOC=O,2,4,4,False,,
C2H4O4,O=C(CO)OO,2,4,4,True,"Ethaneperoxoic acid, hydroxy-",Q82244376
C2H4O4,O=C(O)C(O)O,2,4,4,False,,
C2H4O4,O=C(O)COO,2,4,4,False,,
C2H4O4,O=C(O)OCO,2,4,4,False,,
C2H4O4,O=CC(O)(O)O,2,4,4,False,,
C2H4O4,O=CC(O)OO,2,4,4,False,,
C2H4O4,O=CCOOO,2,4,4,False,,
C2H4O4,O=COC(O)O,2,4,4,False,,
C2H4O4,O=COCOO,2,4,4,True,hydroperoxymethyl formate,Q82740699
C2H4O4,O=COOCO,2,4,4,False,,
C2H4O4,OC(O)=C(O)O,2,4,4,False,,
C2H4O4,OC(O)C1OO1,2,4,4,False,,
C2H4O4,OC1(O)COO1,2,4,4,False,,
C2H4O4,OC1(O)OCO1,2,4,4,False,,
C2H4O4,OC1COOO1,2,4,4,False,,
C2H4O4,OC1OC(O)O1,2,4,4,False,,
C2H4O4,OC1OC1(O)O,2,4,4,False,,
C2H4O4,OC1OCOO1,2,4,4,False,,
C2H4O4,OC1OOC1O,2,4,4,False,,
C2H4O4,OC=C(O)OO,2,4,4,False,,
C2H4O4,OC=COOO,2,4,4,False,,
C2H4O4,OCC1(O)OO1,2,4,4,False,,
C2H4O4,OCC1OOO1,2,4,4,False,,
C2H4O4,OCOC1OO1,2,4,4,False,,
C2H4O4,OOC1(O)CO1,2,4,4,False,,
C2H4O4,OOC1COO1,2,4,4,False,,
C2H4O4,OOC1OC1O,2,4,4,False,,
C2H4O4,OOC1OCO1,2,4,4,False,,
C2H4O4,OOC=C(O)O,2,4,4,False,,
C2H4O4,OOC=COO,2,4,4,False,,
C2H4O4,OOCC1OO1,2,4,4,False,,
C2H4O4,OOOC1CO1,2,4,4,False,,
C2H4O4,O.O=CC(=O)O,2,4,4,True,Glyoxylic acid monohydrate,Q72480782
C2H4O4,O=CO.O=CO,2,4,4,True,bis(formic acid),Q105343202
C2H6O4,CC(O)(O)OO,2,6,4,False,,
C2H6O4,CC(O)OOO,2,6,4,False,,
C2H6O4,CC(OO)OO,2,6,4,False,,
C2H6O4,CCOOOO,2,6,4,False,,
C2H6O4,COC(O)(O)O,2,6,4,False,,
C2H6O4,COC(O)OO,2,6,4,False,,
C2H6O4,COCOOO,2,6,4,False,,
C2H6O4,COOC(O)O,2,6,4,False,,
C2H6O4,COOCOO,2,6,4,False,,
C2H6O4,COOOCO,2,6,4,False,,
C2H6O4,COOOOC,2,6,4,False,,
C2H6O4,OC(O)C(O)O,2,6,4,True,"Ethane-1,1,2,2-tetrol",Q83069213
C2H6O4,OCC(O)(O)O,2,6,4,False,,
C2H6O4,OCC(O)OO,2,6,4,False,,
C2H6O4,OCCOOO,2,6,4,False,,
C2H6O4,OCOC(O)O,2,6,4,False,,
C2H6O4,OCOCOO,2,6,4,False,,
C2H6O4,OCOOCO,2,6,4,True,"Methanol, dioxybis (9CI)",Q83038584
C2H6O4,OOCC(O)O,2,6,4,False,,
C2H6O4,OOCCOO,2,6,4,False,,
C3,C1=C=C=1,3,0,0,True,cyclopropatriene,Q866198
C3,[C+]C#[C-],3,0,0,True,tricarbon,Q866582
C3H2,C1#CC1,3,2,0,True,cyclopropyne,Q82487583
C3H2,C1=CC=1,3,2,0,False,,
C3H2,[C]1C=C1,3,2,0,True,cyclopropenylidene,Q3008567
C3H2,[C]=C=C,3,2,0,True,propadienylidene,Q3407495
C3H2,[CH]C#C,3,2,0,True,2-propyn-1-ylidene,Q127257435
C3H4,C#CC,3,4,0,True,propyne,Q151446
C3H4,C1=CC1,3,4,0,True,cyclopropene,Q414101
C3H4,C=C=C,3,4,0,True,propadiene,Q422942
C3H4,[C]C#C,3,4,0,True,propynylidyne,Q3407647
C3H4,[2H]C([2H])=C=C([2H])[2H],3,4,0,True,(²H₄)Propadiene,Q82463076
C3H4,[2H]C([2H])([2H])C#C,3,4,0,True,"Propyne-3,3,3-d1",Q83024486
C3H4,[CH]1C=C1,3,4,0,True,Cyclopropenyl radical,Q83053856
C3H4,[CH]=C=C,3,4,0,True,Propargyl radical,Q83054370
C3H4,[2H]C#CC([2H])([2H])[2H],3,4,0,True,Propyne-d4,Q83084528
C3H6,CC1(C)C(C)(C)C1(C)C,3,6,0,False,,
C3H6,C1CC1,3,6,0,True,cyclopropane,Q80250
C3H6,C=CC,3,6,0,True,propylene,Q151324
C3H6,C=[13CH]C,3,6,0,True,(2-¹³C)Prop-1-ene,Q82465360
C3H6,[CH2]C=C,3,6,0,True,Prop-1-en-3-yl,Q82918530
C3H6,[2H]C([2H])=C([2H])C([2H])([2H])[2H],3,6,0,True,Propene-d6,Q83033939
C3H6,[CH]1CC1,3,6,0,True,Cyclopropyl,Q83049379
C3H6,C[C]C,3,6,0,True,Dimethylcarbene,Q133247456
C3H8,CC(C)(C)C(C)(C)C(C)(C)C,3,8,0,False,,
C3H8,CCC,3,8,0,True,propane,Q131189
C3H8,[2H]C([2H])(C)C,3,8,0,True,"Propane-2,2-d2",Q82238962
C3H8,[2H]C(C([2H])([2H])[2H])C([2H])([2H])[2H],3,8,0,True,"Propane-1,1,1,2,3,3,3-d7",Q82257483
C3H8,[13CH3][13CH2][13CH3],3,8,0,True,Propane-13C3,Q82329458
C3H8,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H],3,8,0,True,Propane-d8,Q83053655
