formula,nC,nH,nO,wikidata_id,wikidata_name,smiles,canon_smiles,inchi,cas,sitelinks,on_enwiki,enwiki_title
C5H10O4,5,10,4,Q27260246,dimethylolpropionic acid,CC(CO)(CO)C(=O)O,CC(CO)(CO)C(=O)O,"InChI=1S/C5H10O4/c1-5(2-6,3-7)4(8)9/h6-7H,2-3H2,1H3,(H,8,9)",4767-03-7,5,True,Dimethylolpropionic acid
C5H8O4,5,8,4,Q11858996,ethylmalonic acid,CCC(C(=O)O)C(=O)O,CCC(C(=O)O)C(=O)O,"InChI=1S/C5H8O4/c1-2-3(4(6)7)5(8)9/h3H,2H2,1H3,(H,6,7)(H,8,9)",601-75-2,2,False,
C5H8O4,5,8,4,Q21045268,monomethyl succinate,COC(=O)CCC(=O)O,COC(=O)CCC(=O)O,"InChI=1S/C5H8O4/c1-9-5(8)3-2-4(6)7/h2-3H2,1H3,(H,6,7)",3878-55-5,1,False,
C5H10O4,5,10,4,Q26840902,2-(2-methoxyethoxy)acetic acid,COCCOCC(=O)O,COCCOCC(=O)O,"InChI=1S/C5H10O4/c1-8-2-3-9-4-5(6)7/h2-4H2,1H3,(H,6,7)",16024-56-9,0,False,
C5H10O4,5,10,4,Q27098188,"(R)-2,3-dihydroxy-3-methylbutanoic acid",CC(C)(C(C(=O)O)O)O,CC(C)(O)C(O)C(=O)O,"InChI=1S/C5H10O4/c1-5(2,9)3(6)4(7)8/h3,6,9H,1-2H3,(H,7,8)/t3-/m0/s1",,0,False,
C5H8O4,5,8,4,Q27102301,"2-deoxy-D-ribono-1,4-lactone",C1C(C(OC1=O)CO)O,O=C1CC(O)C(CO)O1,"InChI=1S/C5H8O4/c6-2-4-3(7)1-5(8)9-4/h3-4,6-7H,1-2H2/t3-,4+/m0/s1",34371-14-7,0,False,
C5H8O4,5,8,4,Q27102384,2-(hydroxymethyl)-4-oxobutanoic acid,C(C=O)C(CO)C(=O)O,O=CCC(CO)C(=O)O,"InChI=1S/C5H8O4/c6-2-1-4(3-7)5(8)9/h2,4,7H,1,3H2,(H,8,9)",,0,False,
C5H8O4,5,8,4,Q27102515,acetolactic acid,CC(C)(C(=O)C(=O)O)O,CC(C)(O)C(=O)C(=O)O,"InChI=1S/C5H8O4/c1-5(2,9)3(6)4(7)8/h9H,1-2H3,(H,7,8)",6546-31-2,0,False,
C5H10O4,5,10,4,Q27103348,α-D-2-deoxyribose,C1C(C(COC1O)O)O,OC1CC(O)C(O)CO1,"InChI=1S/C5H10O4/c6-3-1-5(8)9-2-4(3)7/h3-8H,1-2H2/t3-,4+,5-/m0/s1",36792-85-5,0,False,
C5H10O4,5,10,4,Q27103653,1-deoxy-D-xylulose,CC(=O)C(C(CO)O)O,CC(=O)C(O)C(O)CO,"InChI=1S/C5H10O4/c1-3(7)5(9)4(8)2-6/h4-6,8-9H,2H2,1H3/t4-,5-/m1/s1",60299-43-6,0,False,
C5H10O4,5,10,4,Q27131525,5-deoxy-D-ribose,CC(C(C(C=O)O)O)O,CC(O)C(O)C(O)C=O,"InChI=1S/C5H10O4/c1-3(7)5(9)4(8)2-6/h2-5,7-9H,1H3/t3-,4+,5-/m1/s1",,0,False,
C5H8O4,5,8,4,Q27139503,"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one",CC1(C(=O)C(CO1)O)O,CC1(O)OCC(O)C1=O,"InChI=1S/C5H8O4/c1-5(8)4(7)3(6)2-9-5/h3,6,8H,2H2,1H3/t3-,5+/m0/s1",,0,False,
C5H8O4,5,8,4,Q27191232,dimethylmalonic acid,CC(C)(C(=O)O)C(=O)O,CC(C)(C(=O)O)C(=O)O,"InChI=1S/C5H8O4/c1-5(2,3(6)7)4(8)9/h1-2H3,(H,6,7)(H,8,9)",595-46-0,0,False,
C5H10O4,5,10,4,Q27252646,glyceryl 1-acetate,CC(=O)OCC(CO)O,CC(=O)OCC(O)CO,"InChI=1S/C5H10O4/c1-4(7)9-3-5(8)2-6/h5-6,8H,2-3H2,1H3",106-61-6,0,False,
C5H10O4,5,10,4,Q27260696,glyceryl 2-acetate,CC(=O)OC(CO)CO,CC(=O)OC(CO)CO,"InChI=1S/C5H10O4/c1-4(8)9-5(2-6)3-7/h5-7H,2-3H2,1H3",100-78-7,0,False,
C5H10O4,5,10,4,Q27452673,"(2S,3R)-2,3-dihydroxy-2-methylbutanoic acid",CC(C(C)(C(=O)O)O)O,CC(O)C(C)(O)C(=O)O,"InChI=1S/C5H10O4/c1-3(6)5(2,9)4(7)8/h3,6,9H,1-2H3,(H,7,8)/t3-,5+/m1/s1",,0,False,
C5H8O4,5,8,4,Q27456980,5-hydroxy-3-oxopentanoic acid,C(CO)C(=O)CC(=O)O,O=C(O)CC(=O)CCO,"InChI=1S/C5H8O4/c6-2-1-4(7)3-5(8)9/h6H,1-3H2,(H,8,9)",,0,False,
C5H10O4,5,10,4,Q27464169,"(2R,3R)-2,4,4-trihydroxy-3-methylbutanal",CC(C(C=O)O)C(O)O,CC(C(O)O)C(O)C=O,"InChI=1S/C5H10O4/c1-3(5(8)9)4(7)2-6/h2-5,7-9H,1H3/t3-,4+/m1/s1",,0,False,
C5H10O4,5,10,4,Q27464819,"1,4-anhydro-D-ribitol",C1C(C(C(O1)CO)O)O,OCC1OCC(O)C1O,"InChI=1S/C5H10O4/c6-1-4-5(8)3(7)2-9-4/h3-8H,1-2H2/t3-,4+,5-/m0/s1",39999-42-3,0,False,
C5H8O4,5,8,4,Q27464820,"1,4-anhydro-D-erythro-pent-1-enitol",C1=C(C(C(O1)CO)O)O,OCC1OC=C(O)C1O,"InChI=1S/C5H8O4/c6-1-4-5(8)3(7)2-9-4/h2,4-8H,1H2/t4-,5+/m1/s1",,0,False,
C5H8O4,5,8,4,Q72434392,(S)-(-)-2-Acetoxypropionic acid,CC(=O)OC(C)C(=O)O,CC(=O)OC(C)C(=O)O,"InChI=1S/C5H8O4/c1-3(5(7)8)9-4(2)6/h3H,1-2H3,(H,7,8)/t3-/m0/s1",6034-46-4,0,False,
C5H8O4,5,8,4,Q72464843,"(3R,4R)-3,4-Dihydroxy-3-methyloxolan-2-one",O=C1OCC(O)C1(O)C,CC1(O)C(=O)OCC1O,"InChI=1S/C5H8O4/c1-5(8)3(6)2-9-4(5)7/h3,6,8H,2H2,1H3/t3-,5-/m1/s1",18465-71-9,0,False,
C5H8O4,5,8,4,Q72475137,ethyl hydrogen malonate,CCOC(=O)CC(=O)O,CCOC(=O)CC(=O)O,"InChI=1S/C5H8O4/c1-2-9-5(8)3-4(6)7/h2-3H2,1H3,(H,6,7)",1071-46-1,0,False,
C5H10O4,5,10,4,Q72490189,Methyl dimethoxyacetate,COC(C(=O)OC)OC,COC(=O)C(OC)OC,"InChI=1S/C5H10O4/c1-7-4(6)5(8-2)9-3/h5H,1-3H3",89-91-8,0,False,
C5H8O4,5,8,4,Q72490559,3-Methoxy-2-methyl-3-oxopropanoic acid,COC(=O)C(C)C(=O)O,COC(=O)C(C)C(=O)O,"InChI=1S/C5H8O4/c1-3(4(6)7)5(8)9-2/h3H,1-2H3,(H,6,7)",3097-74-3,0,False,
C5H8O4,5,8,4,Q74418091,"(S)-4,5-dihydroxy-2-oxopentanal",O=CC(=O)CC(O)CO,O=CC(=O)CC(O)CO,"InChI=1S/C5H8O4/c6-2-4(8)1-5(9)3-7/h2,5,7,9H,1,3H2/t5-/m0/s1",,0,False,
C5H10O4,5,10,4,Q74418272,5-deoxy-alpha-D-ribofuranose,CC1OC(O)C(O)C1O,CC1OC(O)C(O)C1O,"InChI=1S/C5H10O4/c1-2-3(6)4(7)5(8)9-2/h2-8H,1H3/t2-,3-,4-,5+/m1/s1",,0,False,
C5H10O4,5,10,4,Q76390945,"(2S,3R,4S)-oxane-2,3,4-triol",OC1CCOC(O)C1O,OC1CCOC(O)C1O,"InChI=1S/C5H10O4/c6-3-1-2-9-5(8)4(3)7/h3-8H,1-2H2/t3-,4+,5-/m0/s1",,0,False,
C5H8O4,5,8,4,Q76803620,(4R)-4-hydroxy-5-oxopentanoic acid,O=CC(O)CCC(=O)O,O=CC(O)CCC(=O)O,"InChI=1S/C5H8O4/c6-3-4(7)1-2-5(8)9/h3-4,7H,1-2H2,(H,8,9)/t4-/m1/s1",,0,False,
C5H10O4,5,10,4,Q76856386,"(2R,3R,5S)-oxane-2,3,5-triol",OC1COC(O)C(O)C1,OC1COC(O)C(O)C1,"InChI=1S/C5H10O4/c6-3-1-4(7)5(8)9-2-3/h3-8H,1-2H2/t3-,4+,5+/m0/s1",,0,False,
