formula,nC,nH,nO,wikidata_id,wikidata_name,smiles,canon_smiles,inchi,cas,sitelinks,on_enwiki,enwiki_title
C,1,0,0,Q623,carbon,[C],[C],InChI=1S/C,7440-44-0,214,True,Carbon
CH,1,1,0,Q3333711,methylidyne radical,[CH],[CH],InChI=1S/CH/h1H,3315-37-5,14,True,Methylidyne radical
CH2,1,2,0,Q11172462,methylene,[CH2],[CH2],InChI=1S/CH2/h1H2,2465-56-7,16,True,Methylene (compound)
CO,1,0,1,Q2025,carbon monoxide,[C-]#[O+],[C-]#[O+],InChI=1S/CO/c1-2,630-08-0,107,True,Carbon monoxide
CHO,1,1,1,Q27110014,oxomethyl,[CH]=O,[CH]=O,InChI=1S/CHO/c1-2/h1H,2597-44-6,0,False,
CH2O,1,2,1,Q161210,formaldehyde,C=O,C=O,InChI=1S/CH2O/c1-2/h1H2,50-00-0,73,True,Formaldehyde
C2,2,0,0,Q866218,dicarbon,[C-]#[C+],[C+]#[C-],InChI=1S/C2/c1-2,12070-15-4,16,True,Diatomic carbon
C2H,2,1,0,Q3591986,ethynyl radical,C#[C],[C]#C,InChI=1S/C2H/c1-2/h1H,2122-48-7,8,True,Ethynyl radical
C2H2,2,2,0,Q133145,acetylene,C#C,C#C,InChI=1S/C2H2/c1-2/h1-2H,74-86-2,76,True,Acetylene
C2H2,2,2,0,Q17146049,methylidenecarbene,[C]=C,[C]=C,InChI=1S/C2H2/c1-2/h1H2,,3,True,Methylidenecarbene
C2H3,2,3,0,Q27286698,ethenyl,C=[CH],[CH]=C,"InChI=1S/C2H3/c1-2/h1H,2H2",2669-89-8,0,False,
C2H4,2,4,0,Q151313,ethylene,C=C,C=C,InChI=1S/C2H4/c1-2/h1-2H2,74-85-1,78,True,Ethylene
C2H4,2,4,0,Q133523535,Ethylidene,[CH]C,[CH]C,"InChI=1S/C2H4/c1-2/h1H,2H3",4218-50-2,0,False,
C2O,2,0,1,Q2741198,Dicarbon monoxide,[C+]#C[O-],[C+]#C[O-],InChI=1S/C2O/c1-2-3,119754-08-4,22,True,Dicarbon monoxide
C2H2O,2,2,1,Q421032,ketene,C=C=O,C=C=O,InChI=1S/C2H2O/c1-2-3/h1H2,463-51-4,26,True,Ethenone
C2H2O,2,2,1,Q964273,oxirene,C1=CO1,C1=CO1,InChI=1S/C2H2O/c1-2-3-1/h1-2H,157-18-6,20,True,Oxirene
C2H2O,2,2,1,Q1876754,ethynol,C#CO,C#CO,"InChI=1S/C2H2O/c1-2-3/h1,3H",32038-79-2,17,True,Ethynol
C2H3O,2,3,1,Q27120718,formylmethyl,C=C[O],C=C[O],"InChI=1S/C2H3O/c1-2-3/h2H,1H2",4400-01-5,0,False,
C2H3O,2,3,1,Q57695648,acetyl radical,C[C]=O,C[C]=O,InChI=1S/C2H3O/c1-2-3/h1H3,3170-69-2,0,False,
C2H4O,2,4,1,Q61457,acetaldehyde,CC=O,CC=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",75-07-0,62,True,Acetaldehyde
C2H4O,2,4,1,Q407473,ethylene oxide,C1CO1,C1CO1,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,75-21-8,49,True,Ethylene oxide
C2H4O,2,4,1,Q409591,vinyl alcohol,C=CO,C=CO,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2",557-75-5,36,True,Vinyl alcohol
C2O2,2,0,2,Q3120751,ethylene dione,C(=C=O)=O,O=C=C=O,InChI=1S/C2O2/c3-1-2-4,4363-38-6,16,True,Ethylene dione
C2O2,2,0,2,Q82642538,"2,4-Dioxabicyclo[1.1.0]but-1(3)-ene",C12=C(O1)O2,o1c2oc1=2,InChI=1S/C2O2/c3-1-2(3)4-1,175722-50-6,0,False,
C2H2O2,2,2,2,Q413465,glyoxal,C(=O)C=O,O=CC=O,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,107-22-2,36,True,Glyoxal
C2H2O2,2,2,2,Q2758601,acetylenediol,C(#CO)O,OC#CO,InChI=1S/C2H2O2/c3-1-2-4/h3-4H,16005-17-7,17,True,Acetylenediol
C2H2O2,2,2,2,Q416613,acetolactone,C1C(=O)O1,O=C1CO1,InChI=1S/C2H2O2/c3-2-1-4-2/h1H2,42879-41-4,14,True,Acetolactone
C2H2O2,2,2,2,Q9207633,dioxetene,C1=COO1,c1coo1,InChI=1S/C2H2O2/c1-2-4-3-1/h1-2H,,1,False,
C2H2O2,2,2,2,Q82491425,"2,4-Dioxabicyclo[1.1.0]butane",C12C(O1)O2,O1C2OC12,InChI=1S/C2H2O2/c3-1-2(3)4-1/h1-2H,110175-40-1,0,False,
C2H4O2,2,4,2,Q47512,acetic acid,CC(=O)O,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",64-19-7,95,True,Acetic acid
C2H4O2,2,4,2,Q422779,methyl formate,COC=O,COC=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",107-31-3,34,True,Methyl formate
C2H4O2,2,4,2,Q899877,glycolaldehyde,C(C=O)O,O=CCO,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",141-46-8,30,True,Glycolaldehyde
C2H4O2,2,4,2,Q639718,"1,3-dioxetane",C1OCO1,C1OCO1,InChI=1S/C2H4O2/c1-3-2-4-1/h1-2H2,287-50-3,17,True,"1,3-Dioxetane"
C2H4O2,2,4,2,Q2279782,"1,2-dioxetane",C1COO1,C1COO1,InChI=1S/C2H4O2/c1-2-4-3-1/h1-2H2,6788-84-7,15,True,"1,2-Dioxetane"
C2H4O2,2,4,2,Q55600327,"1,1-dihydroxyethene",C=C(O)O,C=C(O)O,"InChI=1S/C2H4O2/c1-2(3)4/h3-4H,1H2",10375-04-9,3,True,"1,1-Dihydroxyethene"
C2H4O2,2,4,2,Q55622903,methyldioxirane,CC1OO1,CC1OO1,"InChI=1S/C2H4O2/c1-2-3-4-2/h2H,1H3",70308-85-9,3,True,Methyldioxirane
C2H4O2,2,4,2,Q21099157,"1,2-ethenediol",C(=CO)O,OC=CO,InChI=1S/C2H4O2/c3-1-2-4/h1-4H,1571-60-4,2,False,
C2H4O2,2,4,2,Q28976024,oxiranol,C1OC1O,OC1CO1,"InChI=1S/C2H4O2/c3-2-1-4-2/h2-3H,1H2",,2,True,Oxiranol
C2H4O2,2,4,2,Q72466650,"(Z)-1,2-Dihydroxyethene",O/C=C\O,O/C=C\O,InChI=1S/C2H4O2/c3-1-2-4/h1-4H/b2-1-,65144-74-3,0,False,
C2H4O2,2,4,2,Q76149899,"(E)-ethene-1,2-diol",O/C=C/O,O/C=C/O,InChI=1S/C2H4O2/c3-1-2-4/h1-4H/b2-1+,,0,False,
C2H4O2,2,4,2,Q82496075,Etheneperoxol,C=COO,C=COO,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2",66998-78-5,0,False,
C3,3,0,0,Q866582,tricarbon,[C-]#C[C+],[C+]C#[C-],InChI=1S/C3/c1-3-2,12075-35-3,11,True,Tricarbon
C3,3,0,0,Q866198,cyclopropatriene,C=1=C=C1,C1=C=C=1,InChI=1S/C3/c1-2-3-1,,8,True,Cyclopropatriene
C3H2,3,2,0,Q3008567,cyclopropenylidene,C1=C[C]1,[C]1C=C1,InChI=1S/C3H2/c1-2-3-1/h1-2H,16165-40-5,12,True,Cyclopropenylidene
C3H2,3,2,0,Q3407495,propadienylidene,[C]=C=C,[C]=C=C,InChI=1S/C3H2/c1-3-2/h1H2,60731-10-4,3,False,
C3H2,3,2,0,Q82487583,cyclopropyne,C1C#C1,C1#CC1,InChI=1S/C3H2/c1-2-3-1/h1H2,60701-63-5,2,True,Cyclopropyne
C3H2,3,2,0,Q127257435,2-propyn-1-ylidene,[CH]C#C,[CH]C#C,InChI=1S/C3H2/c1-3-2/h1-2H,2008-19-7,0,False,
C3H4,3,4,0,Q151446,propyne,CC#C,C#CC,"InChI=1S/C20H26ClN3/c1-20(2)10-7-16(13-20)24-19(14-3-5-15(21)6-4-14)17-8-11-22-12-9-18(17)23-24/h3-6,16,22H,7-13H2,1-2H3",74-99-7,44,True,Propyne
C3H4,3,4,0,Q414101,cyclopropene,C1C=C1,C1=CC1,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",2781-85-3,33,True,Cyclopropene
C3H4,3,4,0,Q422942,propadiene,C=C=C,C=C=C,InChI=1S/C3H4/c1-3-2/h1-2H2,463-49-0,33,True,Propadiene
C3H6,3,6,0,Q151324,propylene,CC=C,C=CC,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",115-07-1,65,True,Propylene
C3H6,3,6,0,Q80250,cyclopropane,C1CC1,C1CC1,InChI=1S/C3H6/c1-2-3-1/h1-3H2,75-19-4,50,True,Cyclopropane
C3H6,3,6,0,Q133247456,Dimethylcarbene,[C](C)C,C[C]C,InChI=1S/C3H6/c1-3-2/h1-2H3,40852-89-9,0,False,
C3O,3,0,1,Q3321280,Tricarbon monoxide,[CH0]=C=C=O,[C]=C=C=O,InChI=1S/C3O/c1-2-3-4,,8,True,Tricarbon monoxide
C3O,3,0,1,Q82487090,Cycloprop-2-yn-1-one,C1#CC1=O,O=c1c#c1,InChI=1S/C3O/c4-3-1-2-3,918959-17-8,0,False,
C3H2O,3,2,1,Q21099676,propynal,C#CC=O,C#CC=O,"InChI=1S/C3H2O/c1-2-3-4/h1,3H",624-67-9,13,True,Propiolaldehyde
C3H2O,3,2,1,Q21099673,cyclopropenone,C1=CC1=O,O=c1cc1,InChI=1S/C3H2O/c4-3-1-2-3/h1-2H,2961-80-0,11,True,Cyclopropenone
C3H2O,3,2,1,Q25099696,Propadienone,C=C=C=O,C=C=C=O,InChI=1S/C3H2O/c1-2-3-4/h1H2,61244-93-7,2,True,Propadienone
C3H4O,3,4,1,Q342790,acrolein,C=CC=O,C=CC=O,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",107-02-8,49,True,Acrolein
C3H4O,3,4,1,Q903345,propargyl alcohol,C#CCO,C#CCO,"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2",107-19-7,23,True,Propargyl alcohol
C3H4O,3,4,1,Q408718,cyclopropanone,C1CC1=O,O=C1CC1,InChI=1S/C3H4O/c4-3-1-2-3/h1-2H2,5009-27-8,18,True,Cyclopropanone
C3H4O,3,4,1,Q220246,oxetene,C1C=CO1,C1=COC1,"InChI=1S/C3H4O/c1-2-4-3-1/h1-2H,3H2",287-25-2,11,True,Oxetene
C3H4O,3,4,1,Q83082913,methylketene,CC=C=O,CC=C=O,"InChI=1S/C3H4O/c1-2-3-4/h2H,1H3",6004-44-0,1,False,
C3H4O,3,4,1,Q82183794,2-methylideneoxirane,C=C1CO1,C=C1CO1,InChI=1S/C3H4O/c1-3-2-4-3/h1-2H2,40079-14-9,0,False,
C3H4O,3,4,1,Q82394487,Propadien-1-ol,C=C=CO,C=C=CO,"InChI=1S/C3H4O/c1-2-3-4/h3-4H,1H2",81788-96-7,0,False,
C3H4O,3,4,1,Q82469552,2-Methyloxirene,CC1=CO1,CC1=CO1,"InChI=1S/C3H4O/c1-3-2-4-3/h2H,1H3",2835-41-8,0,False,
C3H4O,3,4,1,Q82667001,Cycloprop-1-en-1-ol,C1C=C1O,OC1=CC1,"InChI=1S/C3H4O/c4-3-1-2-3/h1,4H,2H2",81788-95-6,0,False,
C3H4O,3,4,1,Q83090574,Methoxyacetylene,COC#C,C#COC,"InChI=1S/C3H4O/c1-3-4-2/h1H,2H3",6443-91-0,0,False,
C3H6O,3,6,1,Q49546,acetone,CC(=O)C,CC(C)=O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,67-64-1,75,True,Acetone
C3H6O,3,6,1,Q414553,allyl alcohol,C=CCO,C=CCO,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",107-18-6,32,True,Allyl alcohol
C3H6O,3,6,1,Q422909,propionaldehyde,CCC=O,CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",123-38-6,32,True,Propionaldehyde
C3H6O,3,6,1,Q418107,oxetane,C1COC1,C1COC1,InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2,503-30-0,26,True,Oxetane
C3H6O,3,6,1,Q727742,propylene oxide,CC1CO1,CC1CO1,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",75-56-9,24,True,Propylene oxide
C3H6O,3,6,1,Q3560539,Cyclopropanol,C1CC1O,OC1CC1,"InChI=1S/C3H6O/c4-3-1-2-3/h3-4H,1-2H2",16545-68-9,15,True,Cyclopropanol
C3H6O,3,6,1,Q904476,methyl vinyl ether,COC=C,C=COC,"InChI=1S/C3H6O/c1-3-4-2/h3H,1H2,2H3",107-25-5,15,True,Methyl vinyl ether
C3H6O,3,6,1,Q6087906,prop-1-en-2-ol,CC(=C)O,C=C(C)O,"InChI=1S/C3H6O/c1-3(2)4/h4H,1H2,2H3",29456-04-0,3,True,Prop-1-en-2-ol
C3O2,3,0,2,Q411352,carbon suboxide,C(=C=O)=C=O,O=C=C=C=O,InChI=1S/C3O2/c4-2-1-3-5,504-64-3,32,True,Carbon suboxide
C3H2O2,3,2,2,Q257590,prop-2-ynoic acid,C#CC(=O)O,C#CC(=O)O,"InChI=1S/C3H2O2/c1-2-3(4)5/h1H,(H,4,5)",471-25-0,17,True,Propiolic acid
C3H2O2,3,2,2,Q82647101,2-Hydroxycycloprop-2-en-1-one,C1=C(C1=O)O,O=c1cc1O,"InChI=1S/C3H2O2/c4-2-1-3(2)5/h1,4H",29910-94-9,0,False,
C3H2O2,3,2,2,Q82681165,"Cyclopropane-1,2-dione",C1C(=O)C1=O,O=C1CC1=O,InChI=1S/C3H2O2/c4-2-1-3(2)5/h1H2,166756-06-5,0,False,
C3H2O2,3,2,2,Q82732647,3-Hydroxyprop-2-ynal,C(=O)C#CO,O=CC#CO,"InChI=1S/C3H2O2/c4-2-1-3-5/h2,5H",148305-40-2,0,False,
C3H4O2,3,4,2,Q324628,acrylic acid,C=CC(=O)O,C=CC(=O)O,"InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)",79-10-7,51,True,Acrylic acid
C3H4O2,3,4,2,Q903881,methylglyoxal,CC(=O)C=O,CC(=O)C=O,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",78-98-8,25,True,Methylglyoxal
C3H4O2,3,4,2,Q420715,propiolactone,C1COC1=O,O=C1CCO1,InChI=1S/C3H4O2/c4-3-1-2-5-3/h1-2H2,57-57-8,21,True,Β-Propiolactone
C3H4O2,3,4,2,Q418661,malondialdehyde,C(C=O)C=O,O=CCC=O,"InChI=1S/C3H4O2/c4-2-1-3-5/h2-3H,1H2",542-78-9,18,True,Malondialdehyde
C3H4O2,3,4,2,Q753254,3-Oxetanone,C1C(=O)CO1,O=C1COC1,InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,6704-31-0,12,True,3-Oxetanone
C3H4O2,3,4,2,Q622436,alpha-propiolactone,CC1C(=O)O1,CC1OC1=O,"InChI=1S/C3H4O2/c1-2-3(4)5-2/h2H,1H3",,9,True,Methyloxiranone
C3H4O2,3,4,2,Q65226021,vinyl formate,C=COC=O,C=COC=O,"InChI=1S/C3H4O2/c1-2-5-3-4/h2-3H,1H2",692-45-5,4,True,Vinyl formate
C3H4O2,3,4,2,Q2307855,glycidaldehyde,C1C(O1)C=O,O=CC1CO1,"InChI=1S/C3H4O2/c4-1-3-2-5-3/h1,3H,2H2",765-34-4,2,False,
C3H4O2,3,4,2,Q76855508,"(1S,4S)-2,5-dioxabicyclo[2.1.0]pentane",C1OC2OC12,C1OC2OC12,"InChI=1S/C3H4O2/c1-2-3(4-1)5-2/h2-3H,1H2/t2-,3-/m0/s1",,0,False,
C3H4O2,3,4,2,Q82218944,"1,4-dioxaspiro[2.2]pentane",C1C2(O1)CO2,C1OC12CO2,InChI=1S/C3H4O2/c1-3(4-1)2-5-3/h1-2H2,157-42-6,0,False,
C3H4O2,3,4,2,Q82273029,"1,3-dioxole",C1OC=CO1,C1=COCO1,"InChI=1S/C3H4O2/c1-2-5-3-4-1/h1-2H,3H2",288-53-9,0,False,
C3H4O2,3,4,2,Q82356694,2-Methoxyethen-1-one,COC=C=O,COC=C=O,"InChI=1S/C3H4O2/c1-5-3-2-4/h3H,1H3",54276-52-7,0,False,
C3H4O2,3,4,2,Q82484706,2-Hydroxyprop-2-enal,C=C(C=O)O,C=C(O)C=O,"InChI=1S/C3H4O2/c1-3(5)2-4/h2,5H,1H2",73623-80-0,0,False,
C3H4O2,3,4,2,Q82811359,(2R)-2-Hydroxycyclopropan-1-one,O=C1CC1O,O=C1CC1O,"InChI=1S/C3H4O2/c4-2-1-3(2)5/h2,4H,1H2/t2-/m1/s1",850869-69-1,0,False,
C3H6O2,3,6,2,Q422956,propionic acid,CCC(=O)O,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",79-09-4,50,True,Propionic acid
C3H6O2,3,6,2,Q414189,methyl acetate,CC(=O)OC,COC(C)=O,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,79-20-9,33,True,Methyl acetate
C3H6O2,3,6,2,Q2234483,"1,3-dioxolane",C1COCO1,C1COCO1,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,646-06-0,20,True,Dioxolane
C3H6O2,3,6,2,Q418265,glycidol,C1C(O1)CO,OCC1CO1,"InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2",556-52-5,18,True,Glycidol
C3H6O2,3,6,2,Q4381828,DL-lactaldehyde,CC(C=O)O,CC(O)C=O,"InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3",598-35-6,14,True,Lactaldehyde
C3H6O2,3,6,2,Q762482,dimethyldioxirane,CC1(OO1)C,CC1(C)OO1,InChI=1S/C3H6O2/c1-3(2)4-5-3/h1-2H3,74087-85-7,14,True,Dimethyldioxirane
C3H6O2,3,6,2,Q20236702,acetol,CC(=O)CO,CC(=O)CO,"InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3",116-09-6,9,True,Hydroxyacetone
C3H6O2,3,6,2,Q7317628,hydracrylaldehyde,C(CO)C=O,O=CCCO,"InChI=1S/C3H6O2/c4-2-1-3-5/h2,5H,1,3H2",2134-29-4,8,True,Reuterin
C3H6O2,3,6,2,Q99244233,"1,2-dioxolane",C1COOC1,C1COOC1,InChI=1S/C3H6O2/c1-2-4-5-3-1/h1-3H2,4362-13-4,8,True,"1,2-Dioxolane"
C3H6O2,3,6,2,Q27262071,methoxyacetaldehyde,COCC=O,COCC=O,"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3",10312-83-1,0,False,
C3H6O2,3,6,2,Q72466577,"1,1-Dihydroxycyclopropane",C1CC1(O)O,OC1(O)CC1,"InChI=1S/C3H6O2/c4-3(5)1-2-3/h4-5H,1-2H2",15144-65-7,0,False,
C3H6O2,3,6,2,Q72498395,Oxetan-3-ol,C1C(CO1)O,OC1COC1,"InChI=1S/C3H6O2/c4-3-1-5-2-3/h3-4H,1-2H2",7748-36-9,0,False,
C3H6O2,3,6,2,Q82270489,"Hydroperoxide, 2-propenyl",C=CCOO,C=CCOO,"InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2",6069-42-7,0,False,
C3H6O2,3,6,2,Q82278219,"Ethenol, 1-methoxy-",COC(=C)O,C=C(O)OC,"InChI=1S/C3H6O2/c1-3(4)5-2/h4H,1H2,2H3",4453-91-2,0,False,
C3H6O2,3,6,2,Q82381515,Prop-1-ene-2-peroxol,CC(=C)OO,C=C(C)OO,"InChI=1S/C3H6O2/c1-3(2)5-4/h4H,1H2,2H3",177944-34-2,0,False,
C3H6O2,3,6,2,Q82415958,"3-Methyl-1,2-dioxetane",CC1COO1,CC1COO1,"InChI=1S/C3H6O2/c1-3-2-4-5-3/h3H,2H2,1H3",78031-62-6,0,False,
C3H6O2,3,6,2,Q82455001,3-methyloxiran-2-ol,CC1C(O1)O,CC1OC1O,"InChI=1S/C3H6O2/c1-2-3(4)5-2/h2-4H,1H3",61095-15-6,0,False,
C3H6O2,3,6,2,Q82671388,"Prop-1-ene-1,2-diol",CC(O)=CO,CC(O)=CO,"InChI=1S/C3H6O2/c1-3(5)2-4/h2,4-5H,1H3",7333-03-1,0,False,
C3O3,3,0,3,Q526742,cyclopropanetrione,C1(=O)C(=O)C1=O,O=C1C(=O)C1=O,InChI=1S/C3O3/c4-1-2(5)3(1)6,76719-55-6,10,True,Cyclopropanetrione
C3H2O3,3,2,3,Q2823256,deltic acid,C1(=C(C1=O)O)O,O=c1c(O)c1O,InChI=1S/C3H2O3/c4-1-2(5)3(1)6/h4-5H,54826-91-4,14,True,Deltic acid
C3H2O3,3,2,3,Q539015,malonic anhydride,C1C(=O)OC1=O,O=C1CC(=O)O1,InChI=1S/C3H2O3/c4-2-1-3(5)6-2/h1H2,15159-48-5,13,True,Malonic anhydride
C3H2O3,3,2,3,Q2802973,vinylene carbonate,C1=COC(=O)O1,O=c1occo1,InChI=1S/C3H2O3/c4-3-5-1-2-6-3/h1-2H,872-36-6,6,True,Vinylene carbonate
C3H2O3,3,2,3,Q104948133,"1,2-dioxol-3-one",O=C1OOC=C1,O=c1ccoo1,InChI=1S/C3H2O3/c4-3-1-2-5-6-3/h1-2H,,0,False,
C3H2O3,3,2,3,Q27260168,mesoxalaldehyde,C(=O)C(=O)C=O,O=CC(=O)C=O,InChI=1S/C3H2O3/c4-1-3(6)2-5/h1-2H,497-16-5,0,False,
C3H2O3,3,2,3,Q76855510,"(1S,3R)-spiro[2-oxabicyclo[1.1.0]butane-4,3'-dioxirane]",O1C2C1C21OO1,O1C2C1C21OO1,"InChI=1S/C3H2O3/c4-1-2(4)3(1)5-6-3/h1-2H/t1-,2+",,0,False,
C3H4O3,3,4,3,Q213580,pyruvic acid,CC(=O)C(=O)O,CC(=O)C(=O)O,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",127-17-3,57,True,Pyruvic acid
C3H4O3,3,4,3,Q421145,ethylene carbonate,C1COC(=O)O1,O=C1OCCO1,InChI=1S/C3H4O3/c4-3-5-1-2-6-3/h1-2H2,96-49-1,19,True,Ethylene carbonate
C3H4O3,3,4,3,Q4673256,acetic formic anhydride,CC(=O)OC=O,CC(=O)OC=O,"InChI=1S/C3H4O3/c1-3(5)6-2-4/h2H,1H3",2258-42-6,10,True,Acetic formic anhydride
C3H4O3,3,4,3,Q15411014,glycidic acid,C1C(O1)C(=O)O,O=C(O)C1CO1,"InChI=1S/C3H4O3/c4-3(5)2-1-6-2/h2H,1H2,(H,4,5)",503-11-7,8,True,Glycidic acid
C3H4O3,3,4,3,Q5572308,glucic acid,O=CC(O)C=O,O=CC(O)C=O,"InChI=1S/C3H4O3/c4-1-3(6)2-5/h1-2,4,6H/b3-1+",497-15-4,8,True,Glucic acid
C3H4O3,3,4,3,Q27102737,3-oxopropanoic acid,C(C=O)C(=O)O,O=CCC(=O)O,"InChI=1S/C3H4O3/c4-2-1-3(5)6/h2H,1H2,(H,5,6)",926-61-4,4,True,3-Oxopropanoic acid
C3H4O3,3,4,3,Q11751630,2-hydroxyacrylic acid,C=C(C(=O)O)O,C=C(O)C(=O)O,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h4H,1H2,(H,5,6)",,1,False,
C3H4O3,3,4,3,Q72494123,methyl 2-oxoacetate,COC(=O)C=O,COC(=O)C=O,"InChI=1S/C3H4O3/c1-6-3(5)2-4/h2H,1H3",922-68-9,1,False,
C3H4O3,3,4,3,Q105299875,4-hydroxyoxetan-2-one,O=C1OC(O)C1,O=C1CC(O)O1,"InChI=1S/C3H4O3/c4-2-1-3(5)6-2/h2,4H,1H2",,0,False,
C3H4O3,3,4,3,Q27110094,3-Hydroxypropenoate,C(=C(O)[H])(C(=O)O)[H],O=C(O)C=CO,"InChI=1S/C3H4O3/c4-2-1-3(5)6/h1-2,4H,(H,5,6)/b2-1+",,0,False,
C3H4O3,3,4,3,Q27120674,hydroxypyruvaldehyde,C(C(=O)C=O)O,O=CC(=O)CO,"InChI=1S/C3H4O3/c4-1-3(6)2-5/h1,5H,2H2",997-10-4,0,False,
C3H4O3,3,4,3,Q82253366,"1,3-dioxolan-4-one",C1C(=O)OCO1,O=C1COCO1,InChI=1S/C3H4O3/c4-3-1-5-2-6-3/h1-2H2,4158-81-0,0,False,
C3H4O3,3,4,3,Q82531579,"1,2-Dioxolan-3-one",C1COOC1=O,O=C1CCOO1,InChI=1S/C3H4O3/c4-3-1-2-5-6-3/h1-2H2,62094-47-7,0,False,
C3H6O3,3,6,3,Q161249,DL-lactic acid,CC(C(=O)O)O,CC(O)C(=O)O,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)",50-21-5,74,True,Lactic acid
C3H6O3,3,6,3,Q423211,DL-glyceraldehyde,C(C(C=O)O)O,O=CC(O)CO,"InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2",56-82-6,41,True,Glyceraldehyde
C3H6O3,3,6,3,Q409618,dihydroxyacetone,C(C(=O)CO)O,O=C(CO)CO,"InChI=1S/C3H6O3/c4-1-3(6)2-5/h4-5H,1-2H2",96-26-4,34,True,Dihydroxyacetone
C3H6O3,3,6,3,Q416254,dimethyl carbonate,COC(=O)OC,COC(=O)OC,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,616-38-6,21,True,Dimethyl carbonate
C3H6O3,3,6,3,Q424104,"1,3,5-trioxane",C1OCOCO1,C1OCOCO1,InChI=1S/C3H6O3/c1-4-2-6-3-5-1/h1-3H2,110-88-3,20,True,"1,3,5-Trioxane"
C3H6O3,3,6,3,Q2823220,3-hydroxypropionic acid,C(CO)C(=O)O,O=C(O)CCO,"InChI=1S/C3H6O3/c4-2-1-3(5)6/h4H,1-2H2,(H,5,6)",503-66-2,15,True,3-Hydroxypropionic acid
C3H6O3,3,6,3,Q2806555,"1,2,4-trioxane",C1COCOO1,C1COOCO1,InChI=1S/C3H6O3/c1-2-5-6-3-4-1/h1-3H2,7049-17-4,8,True,"1,2,4-Trioxane"
C3H6O3,3,6,3,Q20054532,methoxyacetic acid,COCC(=O)O,COCC(=O)O,"InChI=1S/C3H6O3/c1-6-2-3(4)5/h2H2,1H3,(H,4,5)",625-45-6,6,True,Methoxyacetic acid
C3H6O3,3,6,3,Q27894348,methyl glycolate,COC(=O)CO,COC(=O)CO,"InChI=1S/C3H6O3/c1-6-3(5)2-4/h4H,2H2,1H3",96-35-5,3,False,
C3H6O3,3,6,3,Q27289887,peroxypropionic acid,CCC(=O)OO,CCC(=O)OO,"InChI=1S/C3H6O3/c1-2-3(4)6-5/h5H,2H2,1H3",4212-43-5,1,False,
C3H6O3,3,6,3,Q105276520,dihydroxy acetone,O=C(C)C(O)O,CC(=O)C(O)O,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h3,5-6H,1H3",,0,False,
C3H6O3,3,6,3,Q116457611,3-hydroperoxypropanal,O(O)CCC=O,O=CCCOO,"InChI=1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2",,0,False,
C3H6O3,3,6,3,Q27122237,monoethyl carbonate,CCOC(=O)O,CCOC(=O)O,"InChI=1S/C3H6O3/c1-2-6-3(4)5/h2H2,1H3,(H,4,5)",13932-53-1,0,False,
C3H6O3,3,6,3,Q76105687,[(3S)-dioxetan-3-yl]methanol,OCC1COO1,OCC1COO1,"InChI=1S/C3H6O3/c4-1-3-2-5-6-3/h3-4H,1-2H2/t3-/m0/s1",,0,False,
